language.EnglishName|language.hlCode|language.google|look_back.title|look_up.title|look_forward.title|look_back.question.1|look_back.question.2|look_back.question.3|look_back.question.4|look_back.question.5|look_up.question.1|look_up.question.2|look_up.question.3|look_up.question.4|look_up.question.5|look_up.question.6|look_forward.question.1|look_forward.question.2|look_forward.question.3|look_forward.question.4|promo.discovery_bible_study|promo.discuss_with_friends|promo.invite_to_discover|promo.discussion_starter||promo.individual_discovery|promo.group_discovery|select_passage|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23
Maithili||mai||||||||||||||||||||||||||||||||||||||||||||#VALUE!|||||#VALUE!
Malagasy|plt00|mg|Miverena|Hitady|Manantena|Inona no isaoranao amin'ity herinandro ity?|Inona no olana atrehinao ary ahoana no azontsika anampiana?|Ahoana no nampiharanao ny soratra masina/tantara izay nianarantsika tamin’ny fotoana nihaonantsika farany?|Iza no nizaranao lesona tamin'ny herinandro lasa ary nanao ahoana izany?|Inona no filana hitanao teo amin'ny fiaraha-monina tamin'ny herinandro lasa?|Angataho ny olona iray hamaky ny andalana tsirairay isaky ny mandeha.|Asaivo milaza izany amin’ny fiteniny manokana ny mpikambana iray ao amin’ny vondrona.|Anontanio ny vondrona raha nampiany na tsy nisy na inona na inona.|Rehefa vitanao ny fehintsoratra REHETRA dia angataho ny olona iray ao amin'ny vondrona mba hilaza ny tantara manontolo amin'ny fitadidiana. Asaivo manitsy ny lesoka ny vondrona.|Inona no lazain’io andalan-teny io amintsika momba an’Andriamanitra na Jesosy?|Inona no ambaran’io andalan-teny io amintsika momba ny olona?|Raha marina io andalana io, inona no fitondran-tena tokony hovaintsika amin’ity herinandro ity?|Iza no hotantarainao amin'ity herinandro ity?|Inona no filana azontsika atao eo anivon’ny fiaraha-monina amin’ity herinandro ity?|Rahoviana ianao no te hihaona indray?|Fianarana Baiboly Discovery|Discus with Friends|Te hahafantatra amin’ny namanao ve ianao hoe manao ahoana Andriamanitra ary manao ahoana ny fiainanao?|Ireto misy fanontaniana vitsivitsy hanombohana ny dinikao.||Tianao ve ny hahalalanao hoe manao ahoana Andriamanitra ary manao ahoana ny fiainanao?|Ny ankamaroan'ny olona dia tia manao ireo zavatra hita ireo miaraka amin'ny namany.|Select Passage|Ny fiandohana|Ny zaridaina|Ny Safidy|ABRAHAMA|10 Didy|Fanatitra noho ny ota|Mpanompo mijaly|Fahaterahan’i Jesosy|Ny batisan’i Jesosy|NIKODEMOSY|Vehivavy Samaritana|Lehilahy nalemy|Ny tafio-drivotra|Lehilahy misy demonia|LAZAROSY|Ny Teny|nosamborina|Fitsarana an’i Jesosy|voahombo tamin'ny hazo fijaliana|FITSANGANANA AMIN'NY MATY|Nalaina|Valiny|COMMUNITY
Malay|mli00|ms|Tengok Belakang|Tengok Atas|Pandang Ke Hadapan|Apa yang anda bersyukur untuk minggu ini?|Apa yang anda sedang bergelut dan bagaimana kami boleh membantu?|Bagaimanakah anda mempraktikkan kitab/cerita yang kita pelajari kali terakhir kita bertemu?|Dengan siapa anda berkongsi pelajaran minggu lalu dan bagaimana ia berlaku?|Apakah keperluan yang anda temui dalam komuniti minggu lepas?|Minta seseorang membaca petikan satu perenggan pada satu masa.|Minta ahli kumpulan menceritakannya dengan perkataan mereka sendiri.|Tanya kumpulan jika mereka menambah apa-apa atau meninggalkan apa-apa.|Apabila anda selesai dengan SEMUA perenggan, minta seseorang dalam kumpulan untuk menceritakan KESELURUHAN cerita mengikut ingatan. Minta kumpulan membetulkan sebarang kesilapan.|Apakah petikan ini memberitahu kita tentang Tuhan atau Yesus?|Apakah petikan ini memberitahu kita tentang orang?|Jika petikan ini benar, apakah tingkah laku yang harus kita ubah minggu ini?|Kepada siapa anda akan menceritakan kisah ini minggu ini?|Apakah keperluan yang boleh kita penuhi dalam komuniti minggu ini?|Bila nak jumpa lagi?|Kajian Alkitab Penemuan|Berbincang dengan Rakan|Adakah anda ingin mengetahui dengan rakan-rakan anda bagaimana Tuhan dan bagaimana Tuhan mahu anda hidup?|Berikut ialah beberapa soalan untuk memulakan perbincangan anda.||Adakah anda ingin mengetahui sendiri bagaimana Tuhan dan bagaimana Tuhan mahu anda hidup?|Kebanyakan orang suka membuat penemuan ini dalam kumpulan dengan rakan mereka.|Pilih Laluan|Permulaan|Taman|Pilihan|Ibrahim|10 Perintah|Persembahan untuk Dosa|Hamba yang menderita|Kelahiran Yesus|Pembaptisan Yesus|Nikodemus|Wanita Samaria|Lelaki Lumpuh|Ribut|Lelaki Yang Dirasuk Syaitan|Lazarus|Firman|Ditangkap|Perbicaraan Yesus|disalib|Kebangkitan|Diambil|Respons|Komuniti
Malayalam|mjs00|ml|തിരിഞ്ഞു നോക്കൂ|തിരയൽ|മുന്നോട്ട് നോക്കുക|ഈ ആഴ്‌ചയ്‌ക്ക് നിങ്ങൾ എന്താണ് നന്ദിയുള്ളത്?|നിങ്ങൾ എന്താണ് ബുദ്ധിമുട്ടുന്നത്, ഞങ്ങൾക്ക് എങ്ങനെ സഹായിക്കാനാകും?|ഞങ്ങൾ അവസാനമായി കണ്ടുമുട്ടിയപ്പോൾ ഞങ്ങൾ പഠിച്ച വേദഗ്രന്ഥം/കഥ നിങ്ങൾ എങ്ങനെയാണ് പ്രായോഗികമാക്കിയത്?|കഴിഞ്ഞ ആഴ്‌ചയിലെ പാഠം നിങ്ങൾ ആരുമായി പങ്കിട്ടു, അത് എങ്ങനെ പോയി?|കഴിഞ്ഞ ആഴ്ച കമ്മ്യൂണിറ്റിയിൽ നിങ്ങൾ എന്തെല്ലാം ആവശ്യങ്ങൾ നിറവേറ്റി?|ഒരു സമയം ഒരു ഖണ്ഡിക വായിക്കാൻ ആരോടെങ്കിലും ആവശ്യപ്പെടുക.|ഒരു ഗ്രൂപ്പ് അംഗത്തെ അവരുടെ സ്വന്തം വാക്കുകളിൽ പറയുക.|അവർ എന്തെങ്കിലും ചേർത്തിട്ടുണ്ടോ അല്ലെങ്കിൽ എന്തെങ്കിലും വിട്ടുപോയിട്ടുണ്ടോ എന്ന് ഗ്രൂപ്പിനോട് ചോദിക്കുക.|നിങ്ങൾ എല്ലാ ഖണ്ഡികകളും പൂർത്തിയാക്കുമ്പോൾ, ഗ്രൂപ്പിലെ ആരോടെങ്കിലും മുഴുവൻ കഥയും മെമ്മറി ഉപയോഗിച്ച് പറയാൻ ആവശ്യപ്പെടുക. തെറ്റുകൾ ഉണ്ടെങ്കിൽ തിരുത്താൻ ഗ്രൂപ്പിനെ അറിയിക്കുക.|ദൈവത്തെക്കുറിച്ചോ യേശുവിനെക്കുറിച്ചോ ഈ ഭാഗം നമ്മോട് എന്താണ് പറയുന്നത്?|ഈ ഭാഗം ആളുകളെക്കുറിച്ച് എന്താണ് പറയുന്നത്?|ഈ ഭാഗം ശരിയാണെങ്കിൽ, ഈ ആഴ്ച നമ്മൾ എന്ത് സ്വഭാവം മാറ്റണം?|ഈ ആഴ്ച ഈ കഥ ആരോട് പറയും?|ഈ ആഴ്‌ച നമുക്ക് കമ്മ്യൂണിറ്റിയിൽ എന്തെല്ലാം ആവശ്യങ്ങൾ നിറവേറ്റാനാകും?|എപ്പോഴാണ് നിങ്ങൾ വീണ്ടും കണ്ടുമുട്ടാൻ ആഗ്രഹിക്കുന്നത്?|ഡിസ്കവറി ബൈബിൾ പഠനം|സുഹൃത്തുക്കളുമായി ചർച്ച ചെയ്യുക|ദൈവം എങ്ങനെയുള്ളവനാണെന്നും നിങ്ങൾ എങ്ങനെ ജീവിക്കണമെന്നാണ് ദൈവം ആഗ്രഹിക്കുന്നതെന്നും നിങ്ങളുടെ സുഹൃത്തുക്കളുമായി കണ്ടെത്താൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?|നിങ്ങളുടെ ചർച്ച ആരംഭിക്കുന്നതിനുള്ള ചില ചോദ്യങ്ങൾ ഇതാ.||ദൈവം എങ്ങനെയുള്ളവനാണെന്നും നിങ്ങൾ എങ്ങനെ ജീവിക്കണമെന്നാണ് ദൈവം ആഗ്രഹിക്കുന്നതെന്നും സ്വയം കണ്ടെത്താൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?|മിക്ക ആളുകളും അവരുടെ സുഹൃത്തുക്കളുമായി ഒരു ഗ്രൂപ്പിൽ ഈ കണ്ടെത്തലുകൾ നടത്താൻ ഇഷ്ടപ്പെടുന്നു.|പാസേജ് തിരഞ്ഞെടുക്കുക|തുടക്കം|പൂന്തോട്ടം|ചോയ്സ്|എബ്രഹാം|10 കൽപ്പനകൾ|പാപത്തിനുള്ള വഴിപാടുകൾ|കഷ്ടപ്പെടുന്ന സേവകൻ|യേശുവിൻ്റെ ജനനം|യേശുവിൻ്റെ സ്നാനം|നിക്കോഡെമസ്|സമരിയൻ സ്ത്രീ|പക്ഷാഘാതം ബാധിച്ച മനുഷ്യൻ|കൊടുങ്കാറ്റ്|ഒരു പിശാചുബാധയുള്ള മനുഷ്യൻ|ലാസർ|വചനം|അറസ്റ്റ് ചെയ്തു|യേശുവിൻ്റെ വിചാരണ|ക്രൂശിക്കപ്പെട്ടു|പുനരുത്ഥാനം|എടുത്തു|പ്രതികരണങ്ങൾ|സമൂഹം
Maltese|mal99|mt|Ħares Lura|Ħares 'l fuq|Ħares 'l quddiem|Din il-ġimgħa għal xiex int grat?|Ma' xiex qed tissielet u kif nistgħu ngħinu?|Kif għamilt fil-prattika l-iskrittura/l-istorja li studjajna l-aħħar darba li ltqajna?|Ma’ min qsamt il-lezzjoni tal-ġimgħa li għaddiet u kif marret?|Liema bżonnijiet iltqajt fil-komunità l-ġimgħa li għaddiet?|Staqsi lil xi ħadd biex jaqra s-silta paragrafu wieħed kull darba.|Ħalli membru tal-grupp jgħidilha fi kliemu.|Staqsi lill-grupp jekk żiedux xi ħaġa jew ħallewx xi ħaġa barra.|Meta tispiċċa bil-paragrafi KOLLHA, staqsi lil xi ħadd fil-grupp biex jirrakkonta l-istorja SĦIĦA bil-memorja. Ħalli lill-grupp jikkoreġi kwalunkwe żball.|X’tgħidilna din is-silta dwar Alla jew Ġesù?|X’tgħidilna din is-silta dwar in-nies?|Jekk din is-silta hija vera, x’imġiba għandna nibdlu din il-ġimgħa?|Lil min se tgħid din l-istorja din il-ġimgħa?|Liema bżonnijiet nistgħu nilħqu fil-komunità din il-ġimgħa?|Meta trid terġa' tiltaqa'?|Skoperta Studju tal-Bibbja|Iddiskuti mal-Ħbieb|Tixtieq tiskopri ma’ sħabek kif inhu Alla u kif Alla jridek tgħix?|Hawn xi mistoqsijiet biex tibda d-diskussjoni tiegħek.||Tixtieq tiskopri għalik innifsek kif inhu Alla u kif Alla jridek tgħix?|Ħafna nies jixtiequ jagħmlu dawn l-iskoperti fi grupp mal-ħbieb tagħhom.|Agħżel Passaġġ|Il-Bidu|Il-Ġnien|L-Għażla|Abraham|10 Kmandamenti|Offerti għad-Dnub|Qaddej li Tbati|Twelid ta’ Ġesù|Magħmudija ta’ Ġesù|Nikodemu|Mara Samaritana|Bniedem Paralizzat|Il-Maltempata|Bniedem Possedut mid-Demonju|Lazzru|Il-Kelma|Arrestat|Prova ta’ Ġesù|Msallab|Qawmien|Meħuda|Risposti|Komunità
Maori|mbf00|mi|Titiro Whakamuri|Titiro Runga|Titiro whakamua|He aha to mihi mo tenei wiki?|He aha koe e raru ana me pehea e taea ai e matou te awhina?|I pehea koe i whakatinana ai i te karaipiture/korero i akohia e tatou i te wa i tutaki ai tatou?|Ko wai i tohatohahia e koe te akoranga o tera wiki me te pehea i haere ai?|He aha nga hiahia i tutuki i a koe i te hapori i tera wiki?|A ani i te hoê taata ia tai‘o i te irava hoê paratarafa i te taime hoê.|Ma tetahi mema o te roopu e korero i roto i a raatau ake kupu.|Patai atu ki te roopu mena ka taapirihia he mea, ka waiho ranei tetahi mea ki waho.|Ka mutu koe me nga kowae KATOA, patai ki tetahi o te roopu ki te korero i te korero KATOA ma te mahara. Me whakatika e te roopu nga hapa.|Eaha ta teie irava e faaite mai no nia i te Atua aore ra ia Iesu?|He aha ta tenei irava e korero ana mo nga tangata?|Mena he pono tenei korero, he aha te whanonga me whakarereke i tenei wiki?|Ko wai ka korero koe i tenei korero ki tenei wiki?|He aha nga hiahia ka taea e tatou te whakatutuki i roto i te hapori i tenei wiki?|Ahea koe e hiahia ana kia tutaki ano?|Akoranga Paipera Discovery|Matapaki me nga hoa|E hinaaro anei oe e ite e to oe mau hoa mai te aha te huru o te Atua e te hinaaro ra te Atua ia ora oe?|Anei etahi patai hei timata i to korero.||Kei te pirangi koe ki te mohio ki a koe ano te ahua o te Atua me te pehea e hiahia ai te Atua kia ora koe?|He pai te nuinga o nga tangata ki te mahi i enei kitenga i roto i te roopu me o raatau hoa.|Tīpakohia te Haerenga|Te timatanga|Te Maara|Te Kōwhiringa|Aperahama|10 Nga Whakahau|Nga whakahere mo te Hara|Tavini mamae|Whanautanga o Ihu|Te iriiringa o Ihu|Nikodemo|Wahine Hamari|Tangata Pararutiki|Te Awha|He Tangata Rewera|Raharuhi|Te Kupu|Ka mauheretia|Whakawaa a Ihu|Ripekatia|Te aranga|Kawea ake|Nga Whakautu|Hapori
Marathi|mrt00|mr|मागे वळून पहा|वर पहा|पुढे पहा|या आठवड्यात तुम्ही कशासाठी आभारी आहात?|तुम्ही कशाशी संघर्ष करत आहात आणि आम्ही कशी मदत करू शकतो?|आम्ही शेवटच्या वेळी भेटलेल्या शास्त्राचा/कथेचा अभ्यास तुम्ही कसा केला?|तुम्ही गेल्या आठवड्याचा धडा कोणाशी शेअर केला आणि तो कसा गेला?|गेल्या आठवड्यात तुम्ही समाजात कोणत्या गरजा पूर्ण केल्या?|एखाद्याला एका वेळी एक परिच्छेद वाचण्यास सांगा.|ग्रुप मेंबरला त्यांच्या स्वतःच्या शब्दात सांगा.|गटाला विचारा की त्यांनी काही जोडले किंवा काही सोडले.|तुम्ही सर्व परिच्छेद पूर्ण केल्यावर, गटातील एखाद्याला संपूर्ण कथा स्मृतीनुसार सांगण्यास सांगा. गटाला काही चुका दुरुस्त करण्यास सांगा.|हा उतारा आपल्याला देव किंवा येशूबद्दल काय सांगतो?|हा उतारा आपल्याला लोकांबद्दल काय सांगतो?|जर हा उतारा खरा असेल तर या आठवड्यात आपण कोणते वर्तन बदलले पाहिजे?|या आठवड्यात तुम्ही ही गोष्ट कोणाला सांगाल?|या आठवड्यात आपण समाजात कोणत्या गरजा पूर्ण करू शकतो?|तुला पुन्हा कधी भेटायचं आहे?|डिस्कव्हरी बायबल अभ्यास|मित्रांसोबत चर्चा करा|तुम्हाला तुमच्या मित्रांसोबत देव कसा आहे आणि तुम्ही कसे जगावे अशी देवाची इच्छा आहे हे जाणून घ्यायला आवडेल का?|तुमची चर्चा सुरू करण्यासाठी येथे काही प्रश्न आहेत.||देव कसा आहे आणि तुम्ही कसे जगावे अशी देवाची इच्छा आहे हे तुम्ही स्वतः शोधू इच्छिता?|बऱ्याच लोकांना हे शोध त्यांच्या मित्रांसह गटात लावायला आवडतात.|पॅसेज निवडा|सुरुवात|बाग|निवड|अब्राहम|10 आज्ञा|पापासाठी अर्पण|कष्टी सेवक|येशूचा जन्म|येशूचा बाप्तिस्मा|निकोडेमस|शोमरोनी स्त्री|पक्षाघात झालेला माणूस|वादळ|एक भूतबाधा मनुष्य|लाजर|शब्द|अटक केली|येशूची चाचणी|वधस्तंभावर खिळले|पुनरुत्थान|वर घेतले|प्रतिसाद|समुदाय
Meiteilon (Manipuri)||mni-Mtei||||||||||||||||||||||||||||||||||||||||||||#VALUE!|||||#VALUE!
Mizo||lus||||||||||||||||||||||||||||||||||||||||||||#VALUE!|||||#VALUE!
Mongolian|khk00|mn|Эргээд хар|Дээшээ хар|Урагшаа хар|Энэ долоо хоногт та юунд талархаж байна вэ?|Та юутай тулалдаж байна, бид яаж туслах вэ?|Хамгийн сүүлд уулзахдаа бидний судалсан судрыг/түүхийг та хэрхэн хэрэгжүүлсэн бэ?|Та өнгөрсөн долоо хоногийн хичээлээ хэнтэй хуваалцсан бэ, яаж болсон бэ?|Өнгөрсөн долоо хоногт та нийгэмд ямар хэрэгцээ шаардлагыг хангасан бэ?|Хэсгийг нэг догол мөр болгон уншихыг хэн нэгнээс хүс.|Бүлгийн гишүүнээр үүнийг өөрийн үгээр хэлүүлээрэй.|Бүлгээс ямар нэгэн зүйл нэмсэн эсвэл орхисон зүйл байгаа эсэхийг асуу.|БҮХ догол мөрүүдийг бичиж дуусгасны дараа бүлгийн хэн нэгнээс түүхийг БҮХЭН санах ойгоор нь ярихыг хүс. Бүлэгт алдаа дутагдлыг засаарай.|Энэ хэсэг бидэнд Бурхан эсвэл Есүсийн талаар юу хэлж байна вэ?|Энэ ишлэл бидэнд хүмүүсийн талаар юу хэлж байна вэ?|Хэрэв энэ хэсэг үнэн бол бид энэ долоо хоногт ямар зан үйлийг өөрчлөх ёстой вэ?|Та энэ долоо хоногт энэ түүхийг хэнд хэлэх вэ?|Бид энэ долоо хоногт нийгэмд ямар хэрэгцээг хангаж чадах вэ?|Та хэзээ дахин уулзах хүсэлтэй байна вэ?|Discovery Библийн судалгаа|Найзуудтайгаа ярилц|Та найзуудтайгаа Бурхан ямар байдгийг мөн Бурхан таныг хэрхэн амьдраасай гэж хүсдэгийг олж мэдмээр байна уу?|Хэлэлцүүлгийг эхлүүлэхийн тулд энд хэдэн асуулт байна.||Та Бурхан ямар байдгийг, Бурхан чамайг хэрхэн амьдраасай гэж хүсдэгийг өөрөө олж мэдмээр байна уу?|Ихэнх хүмүүс найз нөхөдтэйгээ хамт олноороо ийм нээлт хийх дуртай байдаг.|Passage-г сонгоно уу|Эхлэл|Цэцэрлэг|Сонголт|Абрахам|10 зарлиг|Нүглийн төлөөх өргөлүүд|Зовлонт үйлчлэгч|Есүсийн төрөлт|Есүсийн баптисм|Никодем|Самари эмэгтэй|Саа өвчтэй хүн|Шуурга|Чөтгөрт автсан хүн|Лазар|Үг|Баривчлагдсан|Есүсийн сорилт|Цовдлогдсон|Амилалт|Авсан|Хариултууд|Нийгэмлэг
Myanmar (Burmese)|bms00|my|ပြန်ကြည့်|ဦးမော့လာသည်|မျှော်လင့်ပါတယ်|ဒီတစ်ပတ်အတွက် ဘာကို ကျေးဇူးတင်ပါသလဲ။|မင်းဘာတွေ ရုန်းကန်နေရလဲ ငါတို့ ဘယ်လိုကူညီနိုင်မလဲ။|ငါတို့နောက်ဆုံးတွေ့ခဲ့တဲ့ ကျမ်းချက်/ဇာတ်လမ်းကို ဘယ်လို လက်တွေ့ကျင့်သုံးခဲ့သလဲ။|ပြီးခဲ့တဲ့အပတ်က သင်ခန်းစာကို ဘယ်သူနဲ့ မျှဝေခဲ့သလဲ၊ ဘယ်လိုဖြစ်တာလဲ။|ပြီးခဲ့တဲ့အပတ်က အသိုင်းအဝိုင်းမှာ ဘာလိုအပ်ချက်တွေ တွေ့ခဲ့လဲ။|စာပိုဒ်တစ်ပိုဒ်ကို တစ်ကြိမ်လျှင် တစ်ယောက်ယောက်ကို ဖတ်ခိုင်းပါ။|အဖွဲ့၀င်တစ်ဦးကို ၎င်းတို့၏စကားဖြင့် ပြောပြခိုင်းပါ။|တစ်ခုခုထည့်ထားသလား ဒါမှမဟုတ် တစ်ခုခုကျန်ခဲ့ရင် အဖွဲ့ကို မေးပါ။|စာပိုဒ်အားလုံးနှင့် ပြီးသောအခါ၊ အုပ်စုတွင်းရှိ တစ်စုံတစ်ဦးအား ပုံပြင်တစ်ပုဒ်လုံးကို မှတ်ဉာဏ်ဖြင့် ပြောပြရန် တောင်းဆိုပါ။ Group မှ အမှားအယွင်းများကို ပြင်ပေးပါ။|ဘုရားသခင် သို့မဟုတ် ယေရှုအကြောင်း ဤကျမ်းပိုဒ်က ကျွန်ုပ်တို့ကို အဘယ်အရာပြောပြသနည်း။|ဒီကျမ်းပိုဒ်က လူတွေအကြောင်း ဘာပြောသလဲ။|ဒီကျမ်းပိုဒ်က မှန်တယ်ဆိုရင် ဒီအပတ်မှာ ဘယ်လိုအမူအကျင့်တွေကို ပြောင်းလဲသင့်လဲ။|ဒီဇာတ်လမ်းကို ဒီတစ်ပတ်မှာ ဘယ်သူပြောပြမလဲ။|ဒီတစ်ပတ်မှာ လူမှုအသိုင်းအဝိုင်းမှာ ဘာတွေလိုအပ်နေလဲ။|ဘယ်တော့ပြန်ဆုံချင်လဲ။|ရှာဖွေတွေ့ရှိခြင်း သမ္မာကျမ်းစာလေ့လာမှု|သူငယ်ချင်းများနှင့် ဆွေးနွေးပါ။|သင့်သူငယ်ချင်းများနှင့်အတူ ဘုရားသခင်သည် မည်သို့သောပုံစံဖြစ်သည်နှင့် သင့်အား ဘုရားသခင်မည်သို့ အသက်ရှင်စေလိုကြောင်း သင်ရှာဖွေလိုပါသလား။|ဤသည်မှာ သင့်ဆွေးနွေးမှုကို စတင်ရန် မေးခွန်းအချို့ဖြစ်သည်။||ဘုရားသခင်က ဘယ်လိုပုံစံနဲ့ ဘုရားသခင်က သင့်ကို ဘယ်လိုနေထိုင်စေချင်တယ်ဆိုတာ သင်ကိုယ်တိုင် ရှာဖွေတွေ့ရှိလိုပါသလား။|လူအများစုသည် ၎င်းတို့၏ သူငယ်ချင်းများနှင့် အဖွဲ့တွင် ဤရှာဖွေတွေ့ရှိမှုကို ပြုလုပ်လိုကြသည်။|Passage ကို ရွေးပါ။|အစ|ဥယျာဉ်|ရွေးချယ်မှု|အာဗြဟံ|ပညတ်တော် ၁၀ ပါး|အပြစ်အတွက်ပူဇော်သက္ကာ|ဆင်းရဲခံကျွန်|ယေရှုမွေးဖွားခြင်း|ယေရှု၏ဗတ္တိဇံ|နိကောဒင်|ရှမာရိအမျိုးသမီး|လေဖြတ်သူ|မုန်တိုင်း|နတ်ဆိုးစွဲသောသူ|လာဇရု|နှုတ်ကပတ်တော်|အဖမ်းခံရတယ်။|ယေရှု၏စမ်းသပ်မှု|လက်ဝါးကပ်တိုင်မှာ ရိုက်ထားတယ်။|ရှင်ပြန်ထမြောက်ခြင်း။|ခေါ်ဆောင်သွားသည်။|တုံ့ပြန်မှုများ|ရပ်ရွာ
Nepali|nep00|ne|फर्केर हेर|माथि हेर्नुहोस्|अगाडि हेर्नुहोस्|तपाईं यस हप्ताको लागि के आभारी हुनुहुन्छ?|तपाईं के संग संघर्ष गर्दै हुनुहुन्छ र हामी कसरी मद्दत गर्न सक्छौं?|हामीले पछिल्लो पटक भेटेका शास्त्र/कथालाई तपाईंले कसरी व्यवहारमा उतार्नुभयो?|तपाईंले गत हप्ताको पाठ कसलाई साझा गर्नुभयो र यो कसरी गयो?|तपाईंले गत हप्ता समुदायमा के आवश्यकताहरू पूरा गर्नुभयो?|कसैलाई एक पटकमा एउटा अनुच्छेद पढ्नको लागि सोध्नुहोस्।|समूहका सदस्यलाई आफ्नै शब्दमा भन्न लगाउनुहोस्।|समूहलाई सोध्नुहोस् कि यदि तिनीहरूले केहि थपे वा केहि छोडे।|जब तपाइँ सबै अनुच्छेदहरू समाप्त गर्नुहुन्छ, समूहमा कसैलाई मेमोरीद्वारा सम्पूर्ण कथा सुनाउन सोध्नुहोस्। समूहलाई कुनै त्रुटिहरू सच्याउनुहोस्।|यस खण्डले हामीलाई परमेश्वर वा येशूको बारेमा के बताउँछ?|यस खण्डले हामीलाई मानिसहरूको बारेमा के बताउँछ?|यदि यो खण्ड सत्य हो भने, हामीले यो हप्ता कस्तो व्यवहार परिवर्तन गर्नुपर्छ?|यो हप्ता यो कथा कसलाई सुनाउनुहुन्छ?|हामीले यस हप्ता समुदायमा के आवश्यकताहरू पूरा गर्न सक्छौं?|फेरि कहिले भेट्ने मन छ ?|डिस्कवरी बाइबल अध्ययन|साथीहरूसँग छलफल गर्नुहोस्|के तपाईं आफ्ना साथीहरूसँग परमेश्वर कस्तो हुनुहुन्छ र परमेश्वरले तपाईंलाई कसरी बाँच्न चाहनुहुन्छ भन्ने कुरा पत्ता लगाउन चाहनुहुन्छ?|तपाइँको छलफल सुरु गर्न यहाँ केहि प्रश्नहरू छन्।||के तपाई आफैलाई थाहा पाउन चाहानुहुन्छ कि परमेश्वर कस्तो हुनुहुन्छ र परमेश्वरले तपाईलाई कसरी बाँच्न चाहनुहुन्छ?|धेरै मानिसहरू यी खोजहरू आफ्ना साथीहरूसँग समूहमा गर्न मन पराउँछन्।|प्यासेज चयन गर्नुहोस्|शुरुवात|बगैचा|छनोट|अब्राहम|10 आज्ञाहरू|पापको लागि बलिदान|दुखी सेवक|येशूको जन्म|येशूको बप्तिस्मा|निकोडेमस|सामरी महिला|पक्षघात भएको मानिस|आँधी|एक भूत-पोसिएको मानिस|लाजरस|शब्द|गिरफ्तार|येशूको परीक्षण|क्रुसमा टाँगिएको|पुनरुत्थान|उठाइयो|प्रतिक्रियाहरू|समुदाय
Norwegian|nor99|no|Se tilbake|Slå opp|Se fremover|Hva er du takknemlig for denne uken?|Hva sliter du med og hvordan kan vi hjelpe?|Hvordan praktiserte du skriftstedet/historien vi studerte forrige gang vi møttes?|Hvem delte du forrige ukes leksjon med og hvordan gikk det?|Hvilke behov møtte du i samfunnet forrige uke?|Be noen lese avsnittet ett avsnitt om gangen.|La et gruppemedlem fortelle det med sine egne ord.|Spør gruppen om de har lagt til noe eller utelatt noe.|Når du er ferdig med ALLE avsnitt, spør noen i gruppen om å fortelle HELE historien etter minne. La gruppen rette eventuelle feil.|Hva forteller dette avsnittet oss om Gud eller Jesus?|Hva forteller denne passasjen oss om mennesker?|Hvis denne passasjen er sann, hvilken oppførsel bør vi endre denne uken?|Hvem vil du fortelle denne historien til denne uken?|Hvilke behov kan vi møte i samfunnet denne uken?|Når vil du møtes igjen?|Discovery Bibelstudie|Diskuter med venner|Vil du finne ut sammen med vennene dine hvordan Gud er og hvordan Gud vil at du skal leve?|Her er noen spørsmål for å få i gang diskusjonen din.||Vil du selv finne ut hvordan Gud er og hvordan Gud vil at du skal leve?|De fleste liker å gjøre disse oppdagelsene i en gruppe med vennene sine.|Velg Passasje|Begynnelsen|Hagen|Valget|Abraham|10 bud|Offer for synd|Lidende tjener|Jesu fødsel|Jesu dåp|Nikodemus|samaritansk kvinne|Lammet mann|Stormen|En demonbesatt mann|Lasarus|Ordet|Arrestert|Jesu prøvelse|Korsfestet|Oppstandelse|Tatt opp|Svar|Fellesskap
