Json|language_hl|language_google|next|previous|read|read_twice|read_more|read_or_watch|summary|teaching|video_segment|watch_online
Punjabi|pan19|pa|ਅਗਲਾ|ਪਿਛਲਾ|ਪੜ੍ਹੋ {{XXX}}|{{XXX}} ਨੂੰ ਦੋ ਵਾਰ ਪੜ੍ਹੋ ਜਿਵੇਂ ਹੋਰ ਸੁਣਦੇ ਹਨ।|ਹੋਰ ਪੜ੍ਹੋ|{{XXX}} ਨੂੰ ਦੋ ਵਾਰ ਪੜ੍ਹੋ ਜਾਂ ਦੇਖੋ ਕਿਉਂਕਿ ਹਰ ਕੋਈ ਸੁਣਦਾ ਹੈ|ਸੰਖੇਪ|ਪੜ੍ਹਾਉਣਾ|ਵੀਡੀਓ ਖੰਡ|{{XXX}} ਨੂੰ ਔਨਲਾਈਨ ਦੇਖੋ
Quechua||qu|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Romanian|rum00|ro|Următorul|Anterior|Citiți {{XXX}}|Citiți {{XXX}} de două ori în timp ce ceilalți ascultă.|Citeşte mai mult|Citiți sau vizionați {{XXX}} de două ori în timp ce toată lumea ascultă|Rezumat|Predare|Segment video|Urmăriți {{XXX}} online
Russian|rus00|ru|Следующий|Предыдущий|Прочитать {{XXX}}|Прочтите {{XXX}} два раза, пока другие слушают.|Читать далее|Прочтите или посмотрите {{XXX}} два раза, пока все слушают.|Краткое содержание|Обучение|Видеосегмент|Смотрите {{XXX}} онлайн
Samoan|smy00|sm|Sosoo ai|Muamua|Faitau {{XXX}}|Faitau {{XXX}} faalua a'o fa'alogo isi.|Faitau atili|Faitau pe matamata {{XXX}} faalua a'o fa'alogo tagata uma|Aotelega|Aoao atu|Vaega Vitio|Matamata {{XXX}} luga ole laiga
Sanskrit||sa|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Scots Gaelic||gd|Air adhart|Roimhe|Leugh {{XXX}}|Leugh {{XXX}} dà thuras 's feadhainn eile ag èisteachd.|Leugh Tuilleadh|Leugh no coimhead {{XXX}} dà thuras 's a bhios a h-uile duine ag èisteachd|Geàrr-chunntas|Teagasg|Roinn bhidio|Coimhead air {{XXX}} air loidhne
Sepedi||nso|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Serbian|sdd00|sr|Следеће|Претходно|Прочитајте {{КСКСКС}}|Прочитајте {{КСКСКС}} два пута док други слушају.|Прочитајте више|Прочитајте или гледајте {{XXX}} два пута док сви слушају|Резиме|Настава|Видео сегмент|Гледајте {{КСКСКС}} на мрежи
Sesotho|sot01|st|E 'ngoe|E fetileng|Bala {{XXX}}|Bala {{XXX}} habeli ha ba bang ba mamela.|Bala haholoanyane|Bala kapa u shebelle {{XXX}} habeli ha bohle ba mametse|Kakaretso|Ho ruta|Karolo ea Video|Shebella {{XXX}} inthaneteng
Shona|shd00|sn|Next|Previous|Verenga {{XXX}}|Verenga {{XXX}} kaviri vamwe vachiteerera.|Verenga Zvimwe|Verenga kana kuona {{XXX}} kaviri munhu wese paanoteerera|Summary|Kudzidzisa|Vhidhiyo Chikamu|Ona {{XXX}} online
Sindhi|snd00|sd|اڳيان|پويون|پڙهو {{XXX}}|پڙهو {{XXX}} ٻه ڀيرا جيئن ٻيا ٻڌن.|وڌيڪ پڙهو|پڙهو يا ڏسو {{XXX}} ٻه ڀيرا جيئن هرڪو ٻڌي|خلاصو|سيکارڻ|وڊيو سيڪشن|ڏسو {{XXX}} آن لائن
Sinhala (Sinhalese)|sin99|si|ඊළඟ|පෙර|{{XXX}} කියවන්න|අන් අය සවන් දෙන විට {{XXX}} දෙවරක් කියවන්න.|තවත් කියවන්න|සියලු දෙනාට සවන් දෙන පරිදි {{XXX}} දෙවරක් කියවන්න හෝ බලන්න|සාරාංශය|ඉගැන්වීම|වීඩියෝ කොටස|{{XXX}} සබැඳිව නරඹන්න
Slovak|slo00|sk|Ďalej|Predchádzajúce|Prečítajte si {{XXX}}|Prečítajte si {{XXX}} dvakrát, kým ostatní počúvajú.|Prečítajte si viac|Prečítajte si alebo pozerajte {{XXX}} dvakrát, kým budú všetci počúvať|Zhrnutie|Vyučovanie|Video segment|Sledujte {{XXX}} online
Slovenian|slv00|sl|Naprej|Prejšnja|Preberi {{XXX}}|Preberite {{XXX}} dvakrat, medtem ko drugi poslušajo.|Preberi več|Preberite ali si oglejte {{XXX}} dvakrat, ko vsi poslušajo|Povzetek|Poučevanje|Video segment|Glejte {{XXX}} v spletu
Somali|som00|so|Xiga|Hore|Akhri {{XXX}}|Akhri {{XXX}} laba jeer marka ay dadka kale dhegaystaan.|Sii akhri|Akhri ama daawo {{XXX}} laba jeer iyadoo qof kastaa uu dhegaysanayo|Soo koobid|Waxbarid|Qaybta Video|Daawo {{XXX}} onlayn
Spanish|spn00|es|Próximo|Anterior|Leer {{XXX}}|Lea {{XXX}} dos veces mientras los demás escuchan.|Leer más|Lee o mira {{XXX}} dos veces mientras todos escuchan|Resumen|Enseñanza|Segmento de vídeo|Ver {{XXX}} en línea
Sundanese|Sud777|su|Teras|saméméhna|Baca {{XXX}}|Baca {{XXX}} dua kali nalika batur ngadengekeun.|Maca deui|Baca atanapi tonton {{XXX}} dua kali sawaktos sadayana ngadangukeun|Ringkesan|Pangajaran|Bagéan Video|Lalajo {{XXX}} online
Swahili|swc00|sw|Inayofuata|Iliyotangulia|Soma {{XXX}}|Soma {{XXX}} mara mbili wengine wanaposikiliza.|Soma Zaidi|Soma au utazame {{XXX}} mara mbili kila mtu anaposikiliza|Muhtasari|Kufundisha|Sehemu ya Video|Tazama {{XXX}} mtandaoni
Swedish|swe99|sv|Nästa|Tidigare|Läs {{XXX}}|Läs {{XXX}} två gånger medan andra lyssnar.|Läs mer|Läs eller titta på {{XXX}} två gånger medan alla lyssnar|Sammanfattning|Undervisning|Videosegment|Titta på {{XXX}} online
Tagalog (Filipino)|tgl00|tl|Susunod|Nakaraang|Basahin ang {{XXX}}|Basahin ang {{XXX}} dalawang beses habang nakikinig ang iba.|Magbasa pa|Basahin o panoorin ang {{XXX}} dalawang beses habang nakikinig ang lahat|Buod|Pagtuturo|Segment ng Video|Manood ng {{XXX}} online
Tajik|pet00|tg|Баъдӣ|Гузашта|{{XXX}}-ро хонед|{{XXX}}-ро ду маротиба хонед, вақте ки дигарон гӯш мекунанд.|Бештар|{{XXX}}-ро ду бор хонед ё тамошо кунед, зеро ҳама гӯш мекунанд|Хулоса|Таълим|Сегменти видео|{{XXX}}-ро онлайн тамошо кунед
Tamil|tcv00|ta|அடுத்து|முந்தைய|{{XXX}} ஐப் படிக்கவும்|மற்றவர்கள் கேட்கும் போது {{XXX}}ஐ இரண்டு முறை படிக்கவும்.|மேலும் படிக்க|அனைவரும் கேட்கும் படி {{XXX}}ஐ இரண்டு முறை படிக்கவும் அல்லது பார்க்கவும்|சுருக்கம்|கற்பித்தல்|வீடியோ பிரிவு|ஆன்லைனில் {{XXX}} பார்க்கவும்
Tatar|ttr00|tt|Киләсе|Алдагы|{{XXX} Read укыгыз|Башкалар тыңлаганда {{XXX}} ике тапкыр укыгыз.|Күбрәк уку|Everyone {XXX}} ике тапкыр укыгыз яки карагыз|Аннотация|Укыту|Видео сегмент|{{XXX}} онлайн карау
Telugu|tcw00|te|తదుపరి|మునుపటి|{{XXX}}ని చదవండి|ఇతరులు వింటున్నప్పుడు {{XXX}}ని రెండుసార్లు చదవండి.|మరింత చదవండి|ప్రతి ఒక్కరూ వినే విధంగా {{XXX}}ని రెండుసార్లు చదవండి లేదా చూడండి|సారాంశం|బోధన|వీడియో సెగ్మెంట్|ఆన్‌లైన్‌లో {{XXX}}ని చూడండి
Thai|thj00|th|ต่อไป|ก่อนหน้า|อ่าน {{XXX}}|อ่าน {{XXX}} สองครั้งขณะที่คนอื่นฟัง|อ่านเพิ่มเติม|อ่านหรือดู {{XXX}} สองครั้งในขณะที่ทุกคนฟัง|สรุป|การสอน|ส่วนวิดีโอ|ดู {{XXX}} ออนไลน์
Tigrinya||ti|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Tsonga||ts|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Turkish|trk00|tr|Sonraki|Öncesi|{{XXX}}'i okuyun|Diğerleri dinlerken {{XXX}} metnini iki kez okuyun.|Devamını oku|Herkes dinlerken {{XXX}} kitabını iki kez okuyun veya izleyin|Özet|Öğretim|Video Segmenti|{{XXX}} çevrimiçi izleyin
Turkmen|tck00|tk|Indiki|Öňki|{X XXX} Read okaň|Beýlekiler diňläninde {{XXX}} iki gezek okaň.|Dowamyny Oka|Her kim diňläninde {{XXX}} iki gezek okaň ýa-da tomaşa ediň|Gysgaça mazmun|Mugallymçylyk|Wideo segmenti|{X XXX}} onlaýn görüň
Twi (Akan)||ak|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!|#VALUE!
Ukrainian|ukr00|uk|Далі|Попередній|Прочитати {{XXX}}|Прочитайте {{XXX}} двічі, поки інші слухатимуть.|Детальніше|Прочитайте або подивіться {{XXX}} двічі, поки всі слухатимуть|Резюме|Викладання|Відео сегмент|Дивіться {{XXX}} онлайн
Urdu|urd00|ur|اگلا|پچھلا|{{XXX}} پڑھیں|دوسرے سنتے ہی {{XXX}} کو دو بار پڑھیں۔|مزید پڑھیں|{{XXX}} کو دو بار پڑھیں یا دیکھیں جیسے ہر کوئی سنتا ہے۔|خلاصہ|پڑھانا|ویڈیو سیگمنٹ|{{XXX}} آن لائن دیکھیں
Uyghur|uig00|ug|كېيىنكى|ئالدىنقى|{{XXX} Read نى ئوقۇڭ|باشقىلار ئاڭلىغاندەك {{XXX}} ئىككى قېتىم ئوقۇڭ.|تېخىمۇ كۆپ ئوقۇڭ|ھەممە ئادەم ئاڭلىغاندەك {{XXX}} ئىككى قېتىم ئوقۇڭ ياكى كۆرۈڭ|خۇلاسە|ئوقۇتۇش|Video Segment|توردا {{XXX}} نى كۆرۈڭ
Uzbek|uzb00|uz|Keyingisi|Oldingi|{{XXX}} oʻqing|Boshqalar tinglaganda {{XXX}} ni ikki marta oʻqing.|Ko'proq o'qish|{{XXX}} ni ikki marta oʻqing yoki tomosha qiling, chunki hamma tinglaydi|Xulosa|O'qitish|Video segmenti|{{XXX}} ni onlayn tomosha qiling
Vietnamese|vie00|vi|Kế tiếp|Trước|Đọc {{XXX}}|Đọc {{XXX}} hai lần khi những người khác lắng nghe.|Đọc thêm|Đọc hoặc xem {{XXX}} hai lần khi mọi người cùng nghe|Bản tóm tắt|Giảng dạy|Đoạn video|Xem {{XXX}} trực tuyến
Welsh|wls00|cy|Nesaf|Blaenorol|Darllen {{XXX}}|Darllenwch {{XXX}} ddwywaith wrth i eraill wrando.|Darllen Mwy|Darllenwch neu gwyliwch {{XXX}} ddwywaith wrth i bawb wrando|Crynodeb|Addysgu|Segment Fideo|Gwyliwch {{XXX}} ar-lein
Xhosa|xos00|xh|Okulandelayo|Ngaphambili|Funda {{XXX}}|Funda {{XXX}} kabini njengoko abanye bemamele.|Funda ngokugqithisileyo|Funda okanye ubukele {{XXX}} kabini njengoko wonke umntu emamele|Isishwankathelo|Ukufundisa|Icandelo leVidiyo|Bukela {{XXX}} kwi-intanethi
Yiddish|yid49|yi|ווייַטער|פֿריִערדיקע|לייענען {{XXX}}|לייענען {{קסקסקס}} צוויי מאָל ווי אנדערע הערן.|לייענען מער|לייענען אָדער זען {{קסקסקס}} צוויי מאָל ווי אַלעמען הערט|קיצער|לערנען|ווידעא אָפּשניט|וואַך {{XXX}} אָנליין
Yoruba|yor00|yo|Itele|Ti tẹlẹ|Ka {{XXX}}|Ka {{XXX}} ni igba meji bi awọn miiran ṣe ngbọ.|Ka siwaju|Ka tabi wo {{XXX}} ni igba meji bi gbogbo eniyan ṣe ngbọ|Lakotan|Ẹkọ|Fidio Apa|Wo {{XXX}} lori ayelujara
Zulu|zuu00|zu|Olandelayo|Ngaphambilini|Funda i-{{XXX}}|Funda i-{{XXX}} izikhathi ezimbili njengoba abanye belalela.|Funda kabanzi|Funda noma ubuke i-{{XXX}} izikhathi ezimbili njengoba wonke umuntu elalela|Isifinyezo|Ukufundisa|Ingxenye Yevidiyo|Buka i-{{XXX}} ku-inthanethi
