twig	twig	twig	look_back	look_up	look_forward	leaders_call_others_to_follow_christ	leaders_teach_attitudes_god_blesses_1	leaders_teach_attitudes_god_blesses_2	leaders_seek_to_please_god	leaders_serve_god	leaders_judge_righteously_1	leaders_judge_righteously_2	leaders_seek_god	leaders_obey_god	leaders_care_for_outcasts_and_sinners	leaders_teach_preach_and_heal	leaders_send_people_out	leaders_prepare_for_persecution	leaders_offer_rest_to_the_weary	leaders_teach_about_the_kingdom	leaders_accept_the_cost	leaders_listen_to_jesus	leaders_teach_about_faith	leaders_deal_with_sin	leaders_honour_marriage	leaders_are_servants	leaders_meet_needs_with_compassion	leaders_invest_faithfully	leaders_serve_those_in_need	leaders_teach_others_to_obey	thankful_question	struggling_question	group_health_question	praise_and_pray_prompt	practice_question	sharing_god_question	community_needs_question	read_title	read_paragraphs	retell_story	verify_story	whole_story_memory	about_god_question	about_people_question	relate_to_title_question	apply_scripture_question	help_lead_group_question	share_story_this_week	community_action_question	next_meeting_question	discovering_spiritual_leadership	leaders_need_to_grow_character_skills	develop_leaders_prompt	leaders_questions_influenced_by_needs	effective_training_topics_passages_questions	create_outline_now	download_outline	read_more
Kurdish (Sorani)	kur00	ckb																																																								
Kyrgyz	Kyr99	ky	Артка кара	Look Up	Алдыга кара	Лидерлер башкаларды Машаякты ээрчүүгө чакырышат	Лидерлер мамилени үйрөтөт Кудай колдосун	Лидерлер мамилени үйрөтөт Кудай колдосун	Лидерлер Кудайга жагууга умтулушат	Лидерлер Кудайга кызмат кылышат	Лидерлер адилет соттошот	Лидерлер адилет соттошот	Лидерлер Кудайды издешет	Жетекчилер Кудайга баш ийишет	Лидерлер четте калгандарга жана күнөөкөрлөргө кам көрүшөт	Лидерлер үйрөтөт, кабар айтышат жана айыктырат	Лидерлер элди сыртка чыгарышат	Лидерлер куугунтукка даярданышат	Лидерлер чарчагандарга эс алууну сунушташат	Лидерлер Падышалык жөнүндө окутушат	Лидерлер чыгымдарды кабыл алышат	Жетекчилер Исаны уккула	Лидерлер Ыйман жөнүндө үйрөтүшөт	Лидерлер күнөө менен күрөшүшөт	Лидерлер никени сыйлашат	Лидерлер - кызматчылар	Лидерлер муктаждыктарын ырайымдуулугунан улам канааттандырышат	Лидерлер ишенимдүүлүк менен инвестициялайт	Лидерлер муктаж болгондорго кызмат кылышат	Лидерлер башкаларды баш ийүүгө үйрөтүшөт	Бул жума үчүн эмнеге ыраазысыз?	Эмне менен күрөшүп жатасыз жана биз кантип жардам бере алабыз?	Сиздин группадагы(ларыңыздагы) адамдар кандай абалда?	Кудайды даңктоого жана муктаждыктар үчүн тиленүүгө убакыт бөл.	Акыркы жолу жолукканыбызда үйрөнгөнүбүздү кантип ишке ашырдың.	Сиз ким менен Кудай жөнүндө сүйлөштүңүз же акыркы убакта кимдер менен сыйындыңыз? Кудай эмне кылды?	Акыркы жолу жолукканыбыздан бери коомчулукта кандай муктаждыктарга жооп бердиңиз?	Бул талкуунун аталышын окуңуз.	Кимдир-бирөөнүн үзүндүнү бирден-бир абзац менен окуусун сураныңыз.	Топтун мүчөсүнө аны өз сөзү менен айтып бериңиз.	Топтон алар бир нерсе кошуп же бир нерсе калтырбаганын сураңыз.	БАРДЫК абзацтар менен аяктагандан кийин, топтун бирөөнөн БҮТҮН окуяны жаттап айтып берүүсүн сураныңыз. Топтун каталарын оңдосун.	Бул үзүндү бизге Кудай жөнүндө эмнени айтып берет?	Бул үзүндү бизге адамдар жөнүндө эмнени айтып турат?	Бул үзүндүнүн бул талкуунун аталышы менен кандай байланышы бар?	Бул Жазманы кантип колдонсок болот: Кача турган күнөө барбы, талап кылууга убада, үлгү болобу, баш ийүү керекпи?	Бул үзүндү тобуңузду(ларды) жетектөөңүзгө кандайча жардам бере алат?	Бүгүн үйрөнгөнүңөрдү кимге айтасың? Аларга эмне дейсиң?	Бул аптада коомчулуктун кандай муктаждыктарын канааттандыра алабыз?	Качан кайра жолугууну каалайсыз?	Рухий лидерликти ачуу	Лидерлер мындан ары да мүнөзү жана чеберчилиги боюнча өсүш керек	Сиз лидерлериңизге Discovery Bible Studies тармагын жетектөө үчүн зарыл болгон мүнөздү жана көндүмдөрдү өнүктүрүүгө кантип жардам бересиз?	Алар Ыйык Жазмага алып келген суроолоруна алар жетектеген топтордун муктаждыктары таасир этет.	Биз бул темаларды, үзүндүлөрдү жана суроолорду лидерлерибизди окутууда натыйжалуу деп таап жатабыз.	Азыр контур түзүңүз	Контурду жүктөп алыңыз	Кененирээк окуу
Lao	nol00	lo	ເບິ່ງຄືນ	ຊອກຫາ	ເບິ່ງໄປຂ້າງຫນ້າ	ຜູ້ນໍາໂທຫາຄົນອື່ນໃຫ້ຕິດຕາມພຣະຄຣິດ	ຜູ້ນໍາສອນທັດສະນະຄະຕິພຣະເຈົ້າອວຍພອນ	ຜູ້ນໍາສອນທັດສະນະຄະຕິພຣະເຈົ້າອວຍພອນ	ຜູ້​ນໍາ​ສະ​ແຫວງ​ຫາ​ທີ່​ຈະ​ເຮັດ​ໃຫ້​ພຣະ​ເຈົ້າ​ພໍ​ໃຈ	ຜູ້ນໍາຮັບໃຊ້ພຣະເຈົ້າ	ຜູ້ນໍາຕັດສິນຢ່າງຊອບທໍາ	ຜູ້ນໍາຕັດສິນຢ່າງຊອບທໍາ	ຜູ້ນໍາສະແຫວງຫາພຣະເຈົ້າ	ຜູ້ນໍາເຊື່ອຟັງພຣະເຈົ້າ	ຜູ້ນໍາເບິ່ງແຍງຄົນນອກແລະຄົນບາບ	ຜູ້ນໍາສອນ, ສັ່ງສອນ, ແລະປິ່ນປົວ	ຜູ້ນໍາສົ່ງຄົນອອກໄປ	ຜູ້ນໍາກະກຽມສໍາລັບການຂົ່ມເຫັງ	ຜູ້ນໍາສະເຫນີການພັກຜ່ອນໃຫ້ຜູ້ອິດເມື່ອຍ	ຜູ້​ນຳ​ສອນ​ເລື່ອງ​ລາຊະອານາຈັກ	ຜູ້ນໍາຍອມຮັບຄ່າໃຊ້ຈ່າຍ	ຜູ້ນໍາຟັງພຣະເຢຊູ	ຜູ້ນໍາສອນກ່ຽວກັບຄວາມເຊື່ອ	ຜູ້ນໍາຈັດການກັບບາບ	ຜູ້ນໍາໃຫ້ກຽດການແຕ່ງງານ	ຜູ້ນໍາແມ່ນຜູ້ຮັບໃຊ້	ຜູ້ນໍາຕອບສະຫນອງຄວາມຕ້ອງການຍ້ອນຄວາມເມດຕາຂອງເຂົາເຈົ້າ	ຜູ້ນໍາລົງທຶນຢ່າງຊື່ສັດ	ຜູ້ນໍາຮັບໃຊ້ຜູ້ທີ່ຂັດສົນ	ຜູ້ນໍາສອນຄົນອື່ນໃຫ້ເຊື່ອຟັງ	ເຈົ້າຂອບໃຈຫຍັງສຳລັບອາທິດນີ້?	ເຈົ້າກຳລັງປະສົບກັບບັນຫາຫຍັງ ແລະພວກເຮົາຈະຊ່ວຍໄດ້ແນວໃດ?	ຄົນໃນກຸ່ມຂອງເຈົ້າເປັນແນວໃດ?	ໃຊ້ເວລາເພື່ອສັນລະເສີນພຣະເຈົ້າແລະອະທິຖານເພື່ອຄວາມຕ້ອງການ.	ເຈົ້າໄດ້ປະຕິບັດແນວໃດໃນສິ່ງທີ່ພວກເຮົາສຶກສາຄັ້ງສຸດທ້າຍທີ່ພວກເຮົາພົບ.	ເຈົ້າ​ໄດ້​ເວົ້າ​ລົມ​ກັບ​ໃຜ​ກ່ຽວ​ກັບ​ພຣະ​ເຈົ້າ ຫຼື​ເຈົ້າ​ໄດ້​ອະ​ທິ​ຖານ​ກັບ​ໃຜ​ບໍ່​ດົນ​ມາ​ນີ້? ພະເຈົ້າ​ເຮັດ​ຫຍັງ?	ເຈົ້າໄດ້ພົບກັບຄວາມຕ້ອງການອັນໃດຢູ່ໃນຊຸມຊົນຕັ້ງແຕ່ຄັ້ງສຸດທ້າຍທີ່ພວກເຮົາໄດ້ພົບກັນ?	ອ່ານຫົວຂໍ້ສໍາລັບການສົນທະນານີ້.	ຂໍ​ໃຫ້​ຜູ້​ໃດ​ຜູ້​ໜຶ່ງ​ອ່ານ​ຂໍ້​ຄວາມ​ເທື່ອ​ລະ​ວັກ.	ໃຫ້ສະມາຊິກກຸ່ມບອກມັນດ້ວຍຄໍາເວົ້າຂອງຕົນເອງ.	ຖາມກຸ່ມວ່າພວກເຂົາເພີ່ມຫຍັງຫຼືປະໄວ້ຫຍັງ.	ເມື່ອທ່ານຈົບດ້ວຍຫຍໍ້ໜ້າທັງໝົດ, ຂໍໃຫ້ຄົນໃນກຸ່ມເລົ່າເລື່ອງທັງໝົດໂດຍຄວາມຊົງຈຳ. ໃຫ້ກຸ່ມແກ້ໄຂຂໍ້ຜິດພາດຕ່າງໆ.	ຂໍ້ພຣະຄຳພີນີ້ບອກຫຍັງພວກເຮົາກ່ຽວກັບພຣະເຈົ້າ?	ຂໍ້ນີ້ບອກພວກເຮົາແນວໃດກ່ຽວກັບຄົນ?	ຂໍ້ນີ້ກ່ຽວຂ້ອງກັບຫົວຂໍ້ສໍາລັບການສົນທະນານີ້ແນວໃດ?	ເຮົາ​ຈະ​ໃຊ້​ພຣະ​ຄຳ​ພີ​ຂໍ້​ນີ້​ໄດ້​ແນວ​ໃດ: ມີ​ບາບ​ທີ່​ຈະ​ຫຼີກ​ລ່ຽງ, ສັນ​ຍາ​ທີ່​ຈະ​ອ້າງ, ຕົວ​ຢ່າງ​ທີ່​ຈະ​ເຮັດ​ຕາມ, ພຣະ​ບັນ​ຍັດ​ທີ່​ຈະ​ເຊື່ອ​ຟັງ?	ຂໍ້​ນີ້​ຊ່ວຍ​ເຈົ້າ​ໄດ້​ແນວ​ໃດ​ໃນ​ການ​ນໍາ​ພາ​ກຸ່ມ​ຂອງ​ທ່ານ?	ເຈົ້າ​ຈະ​ບອກ​ຜູ້​ໃດ​ທີ່​ເຈົ້າ​ໄດ້​ຮຽນ​ຮູ້​ໃນ​ມື້​ນີ້? ເຈົ້າຈະບອກພວກເຂົາແນວໃດ?	ຄວາມຕ້ອງການອັນໃດທີ່ພວກເຮົາສາມາດຕອບສະຫນອງໃນຊຸມຊົນໃນອາທິດນີ້?	ເຈົ້າຢາກພົບກັນອີກຕອນໃດ?	ຄົ້ນພົບຄວາມເປັນຜູ້ນໍາທາງວິນຍານ	ຜູ້ນໍາຈໍາເປັນຕ້ອງສືບຕໍ່ຂະຫຍາຍຕົວໃນລັກສະນະແລະທັກສະ	ເຈົ້າຊ່ວຍຜູ້ນໍາຂອງເຈົ້າພັດທະນາລັກສະນະ ແລະທັກສະທີ່ເຂົາເຈົ້າຕ້ອງການແນວໃດເພື່ອນໍາພາເຄືອຂ່າຍການສຶກສາຄໍາພີ Discovery ທີ່ເພີ່ມຂຶ້ນຢ່າງຫຼວງຫຼາຍ?	ຄໍາຖາມທີ່ພວກເຂົາເອົາມາໃຫ້ພຣະຄໍາພີແມ່ນອິດທິພົນຈາກຄວາມຕ້ອງການຂອງກຸ່ມທີ່ເຂົາເຈົ້ານໍາພາ.	ພວກເຮົາກໍາລັງຊອກຫາຫົວຂໍ້ເຫຼົ່ານີ້, passages ແລະຄໍາຖາມປະສິດທິພາບໃນການຝຶກອົບຮົມຜູ້ນໍາຂອງພວກເຮົາ.	ສ້າງໂຄງຮ່າງດຽວນີ້	ດາວໂຫລດ Outline	ອ່ານເພີ່ມເຕີມ
Latin	Lat777	la	Respicite	Levare	Exspecto	Duces alios vocare ad Christum sequere	Principes habitus docere Deum benedicere	Principes habitus docere Deum benedicere	Principes quaerite Deum	Principes Deo servite	Principes iuste iudicant	Principes iuste iudicant	Principes Deum quaerite	Principes obedite Deo	Duces cura profugi et peccatores	Principes doce, praedica et sana	Duces mitte populus de	Duces para persecutionem	Duces Requiem lassis	Principes de Regno doce	Duces Accipe Pretium	Principes audi Jesum	Principes de Fide doce	Fac principes cum Sin	Principes Honore Matrimonio	Principes Servi sunt	Duces necessitatibus occurrere propter misericordiam suam	Principes Obsido Fideliter	Principes servite in necessitate	Duces alios docere ad obediendum	Quid tibi gratias pro hac septimana?	Quid ergo conflictati estis et quomodo adiuvabimus?	Quomodo homines in coetus tui (s) vadunt?	Sumite tempus ad laudandum Deum et orate pro necessitatibus.	Quomodo in praxim posuisti quod ultimo tempore studuimus conveniremus.	Quis tecum locutus es de Deo, aut qui cum modo orasti? Quid fecit Deus?	Quid necesse fuit ut in communitate convenissemus ab ultimo tempore quo convenimus?	Lege titulum huius disputationis.	Quaere aliquem locum unum paragraphum ad tempus legere.	Sodalem sodalitatem habere suis verbis narra.	Coetum interroga si quid addiderunt, vel aliquid reliquerunt.	Cum conpleveris omnibus paragraphis, quaere aliquem in coetu narrare totam fabulam per memoriam. Habent coetus errores corrigere.	Quid hic dicit de Deo?	Quid hic dicit de hominibus?	Quomodo hic locus pertinet ad titulum huius disputationis?	Quomodo hanc Scripturam applicamus: Estne peccatum vitare, Promissionem petere, Exemplum sequi, Praeceptum obedire?	Quomodo potest hic locus auxilium tuum ducere sodalitatem tuam?	Quis hodie eruditus tuus narrabit? quid dices eis?	Quid necessitates in communitate hac septimana convenire possumus?	Cum iterum conveniant vis?	Inventio Spiritualis Leadership	Principes in moribus et arte crescere necesse est	Quid adiuvas duces tuos mores et artes evolvere quae indigent ad multiplicationem retis Bibliorum Inventionis?	Interrogationes Sacrae Scripturae afferunt necessitates coetuum quas ducunt.	Haec argumenta, locos ac quaestiones invenimus efficaces ad duces nostros exercendos.	Create Outline Nunc	Download Italic	Read more
Latvian	lat00	lv	Paskaties atpakaļ	Paskaties uz augšu	Skaties uz priekšu	Vadītāji aicina citus sekot Kristum	Līderi māca attieksmi, ko Dievs svētī	Līderi māca attieksmi, ko Dievs svētī	Līderi cenšas iepriecināt Dievu	Līderi kalpo Dievam	Vadītāji spriež taisnīgi	Vadītāji spriež taisnīgi	Līderi meklē Dievu	Vadītāji paklausa Dievam	Līderi rūpējas par atstumtajiem un grēciniekiem	Līderi māca, sludina un dziedina	Līderi izsūta cilvēkus	Līderi gatavojas vajāšanai	Līderi piedāvā atpūtu nogurušajiem	Līderi māca par valstību	Līderi pieņem izmaksas	Vadītāji klausās Jēzu	Līderi māca par ticību	Vadītāji tiek galā ar grēku	Līderi Goda laulību	Vadītāji ir kalpi	Līderi apmierina vajadzības savas līdzjūtības dēļ	Līderi iegulda uzticīgi	Līderi apkalpo tos, kam tas nepieciešams	Līderi māca citus paklausīt	Par ko tu esi pateicīgs šonedēļ?	Ar ko jūs cīnāties un kā mēs varam palīdzēt?	Kā cilvēkiem klājas jūsu grupā(s)?	Veltiet laiku, lai slavētu Dievu un lūgtu par savām vajadzībām.	Kā jūs pielietojāt praksē to, ko mēs pētījām iepriekšējā tikšanās reizē.	Ar ko tu esi runājis par Dievu vai ar ko pēdējā laikā esi lūdzis? Ko Dievs izdarīja?	Kādas vajadzības esat apmierinājis sabiedrībā kopš pēdējās tikšanās reizes?	Izlasiet šīs diskusijas nosaukumu.	Palūdziet kādam izlasīt fragmentu pa vienai rindkopai.	Palūdziet kādam grupas dalībniekam to pastāstīt saviem vārdiem.	Pajautājiet grupai, vai viņi ir kaut ko pievienojuši vai kaut ko atstājuši.	Kad esat pabeidzis VISAS rindkopas, palūdziet kādam no grupas izstāstīt VISU stāstu pēc atmiņas. Lūdziet grupai izlabot visas kļūdas.	Ko šī rakstvieta mums stāsta par Dievu?	Ko šis fragments stāsta par cilvēkiem?	Kā šis fragments ir saistīts ar šīs diskusijas nosaukumu?	Kā mēs varētu piemērot šo Rakstu vietu: vai ir grēks, no kura izvairīties, solījums apgalvot, piemērs, kam sekot, bauslis paklausīt?	Kā šis fragments var palīdzēt jums vadīt savu grupu(-as)?	Kam tu pastāstīsi, ko šodien iemācījies? Ko tu viņiem teiksi?	Kādas vajadzības mēs varam apmierināt sabiedrībā šonedēļ?	Kad vēlies atkal satikties?	Atklājiet garīgo vadību	Līderiem jāturpina augt raksturā un prasmēs	Kā jūs palīdzat saviem vadītājiem attīstīt raksturu un prasmes, kas viņiem nepieciešamas, lai vadītu daudzveidīgo Bībeles studiju tīklu?	Jautājumus, ko viņi uzdod Svētajiem Rakstiem, ietekmē viņu vadīto grupu vajadzības.	Mēs uzskatām, ka šīs tēmas, fragmenti un jautājumi ir efektīvi mūsu vadītāju apmācībā.	Izveidojiet kontūru tūlīt	Lejupielādēt Outline	Lasīt vairāk
Lingala		ln																																																								
Lithuanian	lit00	lt	Guarda indietro	Cercare	Guarda avanti	I leader chiamano gli altri a seguire Cristo	I leader insegnano gli atteggiamenti che Dio benedice	I leader insegnano gli atteggiamenti che Dio benedice	I leader cercano di compiacere Dio	I leader servono Dio	I leader giudicano con rettitudine	I leader giudicano con rettitudine	I leader cercano Dio	I leader obbediscono a Dio	I leader si prendono cura degli emarginati e dei peccatori	I leader insegnano, predicano e guariscono	I leader mandano fuori le persone	I leader si preparano alla persecuzione	I leader offrono riposo agli stanchi	I leader insegnano riguardo al Regno	I leader accettano il costo	I leader ascoltano Gesù	I leader insegnano la fede	I leader affrontano il peccato	I leader onorano il matrimonio	I leader sono servitori	I leader soddisfano i bisogni grazie alla loro compassione	I leader investono fedelmente	I leader servono chi è nel bisogno	I leader insegnano agli altri a obbedire	Per cosa sei grato questa settimana?	Con cosa stai lottando e come possiamo aiutarti?	Come stanno andando le persone del tuo gruppo?	Prenditi del tempo per lodare Dio e pregare per i bisogni.	Come hai messo in pratica ciò che abbiamo studiato l'ultima volta che ci siamo incontrati?	Con chi hai parlato di Dio o con chi hai pregato ultimamente? Cosa ha fatto Dio?	Quali bisogni hai soddisfatto nella comunità dall'ultima volta che ci siamo incontrati?	Leggi il titolo di questa discussione.	Chiedi a qualcuno di leggere il passaggio un paragrafo alla volta.	Chiedi a un membro del gruppo di raccontarlo con parole sue.	Chiedi al gruppo se hanno aggiunto o tralasciato qualcosa.	Quando finisci TUTTI i paragrafi, chiedi a qualcuno del gruppo di raccontare TUTTA la storia a memoria. Chiedi al gruppo di correggere eventuali errori.	Cosa ci dice questo passaggio su Dio?	Cosa ci dice questo passaggio sulle persone?	Come si collega questo passaggio al titolo di questa discussione?	Come potremmo applicare questa Scrittura: c'è un peccato da evitare, una promessa da rivendicare, un esempio da seguire, un comandamento a cui obbedire?	In che modo questo passaggio può aiutarti a guidare il tuo gruppo/i?	A chi racconterai ciò che hai imparato oggi? Cosa dirai loro?	Quali bisogni possiamo soddisfare nella comunità questa settimana?	Quando vuoi incontrarci di nuovo?	Alla scoperta della leadership spirituale	I leader devono continuare a crescere in carattere e abilità	Come puoi aiutare i tuoi leader a sviluppare il carattere e le competenze di cui hanno bisogno per guidare una rete sempre più ampia di Discovery Bible Studies?	Le domande che pongono alla Scrittura sono influenzate dai bisogni dei gruppi che guidano.	Stiamo trovando questi argomenti, passaggi e domande efficaci nella formazione dei nostri leader.	Crea una struttura adesso	Scarica Schema	Per saperne di più
Luganda	lap00	lg																																																								
Luxembourgish	Lux777	lb	Kuckt zréck	Eropkucken	Sech op eppes freeën	Leadere ruffen Anerer fir Christus ze verfollegen	Leadere léieren Attituden Gott blesséiert	Leadere léieren Attituden Gott blesséiert	Leadere sichen Gott ze gefalen	Leadere Déngen Gott	Leadere Riichter Gerecht	Leadere Riichter Gerecht	Leadere sichen Gott	Leadere befollegen Gott	Leadere këmmere sech ëm Outcasts a Sënner	Leadere léieren, prechen, an heelen	Leadere schécken Leit eraus	Leadere preparéieren op Verfolgung	Leadere bidden Rescht un déi midd	Leadere léieren iwwer d'Kinnekräich	Leadere akzeptéieren d'Käschte	Leadere Lauschtert op de Jesus	Leadere léieren iwwer Glawen	Leader Deal mat Sënn	Leader Éieren Bestietnes	Leadere sinn Déngschtleeschtungen	Leadere treffen Bedierfnesser Wéinst hirem Matgefill	Leader investéieren trei	Leadere servéieren déi an Nout	Leadere Léieren Anerer ze befollegen	Fir wat sidd Dir dankbar fir dës Woch?	Mat wat kämpft Dir a wéi kënne mir hëllefen?	Wéi geet et mat de Leit an Ärer Grupp(e)?	Huelt Zäit fir Gott ze luewen a biet fir d'Bedierfnesser.	Wéi hutt Dir dat ëmgesat wat mir d'leschte Kéier studéiert hunn, wou mir eis getraff hunn.	Mat wiem hutt Dir iwwer Gott geschwat oder mat wiem hutt Dir zënter kuerzem gebiet? Wat huet Gott gemaach?	Wéi eng Bedierfnesser hutt Dir an der Gemeinschaft erfëllt zënter der leschte Kéier wou mir eis begéint hunn?	Liest den Titel fir dës Diskussioun.	Frot een de Passage ee Paragraf gläichzäiteg ze liesen.	Loosst e Gruppemember et an hiren eegene Wierder soen.	Frot de Grupp ob se eppes derbäigesat hunn oder eppes ewechgelooss hunn.	Wann Dir mat ALL Abschnitter fäerdeg sidd, frot een an der Grupp fir d'GANZ Geschicht duerch Erënnerung ze erzielen. Loosst de Grupp all Feeler korrigéieren.	Wat seet dëse Passage eis iwwer Gott?	Wat seet dëse Passage eis iwwer Leit?	Wéi ass dëse Passage mam Titel fir dës Diskussioun verbonnen?	Wéi kënne mir dës Schrëft applizéieren: Gëtt et eng Sënn fir ze vermeiden, Verspriechen ze behaapten, Beispill fir ze verfollegen, Gebot ze halen?	Wéi kann dëse Passage Iech hëllefen Är Grupp(en) ze féieren?	Wien wäert Dir soen wat Dir haut geléiert hutt? Wat wäert Dir hinnen soen?	Wéi eng Bedierfnesser kënne mir dës Woch an der Gemeng erfëllen?	Wéini wëllt Dir erëm treffen?	Entdeckt spirituell Leadership	Leadere musse weider a Charakter a Fäegkeet wuessen	Wéi hëlleft Dir Är Leader de Charakter a Fäegkeeten z'entwéckelen déi se brauchen fir e multiplizéierend Netzwierk vun Discovery Bible Studies ze féieren?	D'Froen déi se an d'Schrëft bréngen sinn beaflosst vun de Bedierfnesser vun de Gruppen déi se féieren.	Mir fannen dës Themen, Passagen a Froen effektiv beim Training vun eise Leader.	Erstellt elo Outline	Download Outline	Liest méi
Macedonian	mkj00	mk	Погледни назад	Погледни нагоре	Гледајте напред	Водачите ги повикуваат другите да го следат Христос	Лидерите учат ставови Бог ги благословува	Лидерите учат ставови Бог ги благословува	Лидерите бараат да му угодат на Бога	Водачите му служат на Бог	Лидерите судат праведно	Лидерите судат праведно	Лидерите го бараат Бога	Водачите му се покоруваат на Бога	Лидерите се грижат за отпадниците и грешниците	Водачите поучуваат, проповедаат и лекуваат	Лидерите испраќаат луѓе надвор	Лидерите се подготвуваат за прогон	Лидерите нудат одмор на уморните	Водачите поучуваат за Царството	Лидерите ја прифаќаат цената	Водачите го слушаат Исус	Лидерите учат за верата	Лидерите се справуваат со гревот	Лидерите го почитуваат бракот	Лидерите се слуги	Лидерите ги задоволуваат потребите поради нивното сочувство	Лидерите инвестираат верно	Лидерите им служат на оние кои имаат потреба	Лидерите ги учат другите да послушаат	За што сте благодарни оваа недела?	Со што се борите и како можеме да помогнеме?	Како одат луѓето во вашата група(и)?	Најдете време да го славите Бога и да се молите за потребите.	Како го применивте она што го учевме минатиот пат кога се сретнавме.	Со кого разговаравте за Бог или со кого се молевте во последно време? Што направи Бог?	Кои потреби ги исполнивте во заедницата од последниот пат кога се сретнавме?	Прочитајте го насловот за оваа дискусија.	Побарајте некој да го чита пасусот еден по пасус.	Еден член на групата нека го каже тоа со свои зборови.	Прашајте ја групата дали додале нешто или нешто изоставиле.	Кога ќе завршите со СИТЕ пасуси, замолете некој од групата да ја раскаже ЦЕЛАТА приказна по сеќавање. Групата нека ги исправи сите грешки.	Што ни кажува овој пасус за Бог?	Што ни кажува овој пасус за луѓето?	Како овој пасус се поврзува со насловот за оваа дискусија?	Како би можеле да го примениме ова Писмо: Дали има грев што треба да се избегнува, ветување да се тврди, пример што треба да се следи, заповед што треба да се почитува?	Како може овој пасус да ви помогне да ја водите вашата група(и)?	Кому ќе му кажеш што научи денес? Што ќе им кажеш?	Кои потреби можеме да ги исполниме во заедницата оваа недела?	Кога сакате повторно да се сретнете?	Откривање на духовното лидерство	Лидерите треба да продолжат да растат по карактер и вештини	Како им помагате на вашите водачи да ги развијат карактерот и вештините што им се потребни за да водат мултиплицирана мрежа на библиски студии на Дискавери?	Прашањата што тие ги носат во Светото писмо се под влијание на потребите на групите што ги водат.	Сметаме дека овие теми, пасуси и прашања се ефективни во обуката на нашите лидери.	Направете преглед сега	Преземи преглед	Прочитајте повеќе
Maithili		mai																																																								
Malagasy	plt00	mg	Miverena	Hitady	Manantena	Miantso ny hafa hanaraka an’i Kristy ny mpitarika	Ny mpitarika dia mampianatra toe-tsaina tahin'Andriamanitra	Ny mpitarika dia mampianatra toe-tsaina tahin'Andriamanitra	Mitady Hampifaly an’Andriamanitra ny Mpitarika	Manompo an’Andriamanitra ny Mpitarika	Mitsara marina ny mpitondra	Mitsara marina ny mpitondra	Mitady an'Andriamanitra ny Mpitarika	Mankatò an’Andriamanitra ny Mpitarika	Mpitarika miahy ireo voaroaka sy mpanota	Mampianatra sy mitory ary manasitrana ny mpitarika	Mandefa olona ny mpitondra	Miomana ho amin’ny fanenjehana ireo mpitarika	Ny Mpitarika dia manolotra fitsaharana ho an'ny reraka	Mampianatra Momba Ilay Fanjakana ny Mpitarika	Manaiky ny sarany ny mpitarika	Mihaino an’i Jesosy ny Mpitarika	Mampianatra Momba ny Finoana ny Mpitarika	Miady amin'ny Ota ny Mpitarika	Manaja ny fanambadiana ny Mpitarika	Mpanompo ny mpitondra	Ny Mpitarika dia mamaly ny filana noho ny fangorahany	Mampiasa vola amim-pahatokiana ny mpitarika	Ny Mpitarika dia manompo ireo sahirana	Mampianatra ny hafa hankatò ny mpitarika	Inona no isaoranao amin'ity herinandro ity?	Inona no olana atrehinao ary ahoana no azontsika anampiana?	Manao ahoana ny olona ao amin'ny vondrona misy anao?	Makà fotoana hiderana an’Andriamanitra sy hivavaka ho an’izay ilaina.	Ahoana no nampiharanao ny zavatra nianarantsika tamin’ny fotoana nihaonantsika farany.	Iza no niresahinao momba an’Andriamanitra na niaraka tamin’iza ianao nivavaka tato ho ato? Inona no nataon’Andriamanitra?	Inona no filana nihaona taminao teo amin'ny fiaraha-monina hatramin'ny fotoana nihaonantsika farany?	Vakio ny lohatenin'ity fifanakalozan-kevitra ity.	Angataho ny olona iray hamaky ny andalana tsirairay isaky ny mandeha.	Asaivo milaza izany amin’ny fiteniny manokana ny mpikambana iray ao amin’ny vondrona.	Anontanio ny vondrona raha nampiany na tsy nisy na inona na inona.	Rehefa vitanao ny fehintsoratra REHETRA dia angataho ny olona iray ao amin'ny vondrona mba hilaza ny tantara manontolo amin'ny fitadidiana. Asaivo manitsy ny lesoka ny vondrona.	Inona no lazain’io andalan-teny io amintsika momba an’Andriamanitra?	Inona no ambaran’io andalan-teny io amintsika momba ny olona?	Ahoana no ifandraisan'io andalana io amin'ny lohatenin'ity fifanakalozan-kevitra ity?	Ahoana no hampiharana an’ity Soratra Masina ity: Misy fahotana tokony ialana ve, Teny fikasana hotakiana, Ohatra tokony harahintsika, Didy tokony hankatoavina?	Ahoana no ahafahan'ity andalana ity manampy anao hitarika ny vondrona misy anao?	Iza no holazainao ny zavatra nianaranao androany? Inona no holazainao amin'izy ireo?	Inona no filana azontsika atao eo anivon’ny fiaraha-monina amin’ity herinandro ity?	Rahoviana ianao no te hihaona indray?	Fahitana ny fitarihana ara-panahy	Mila mitombo hatrany ny toetra sy ny fahaiza-manao ny mpitondra	Ahoana no anampianao ny mpitarika anao hampivelatra ny toetra sy ny fahaiza-manao ilainy mba hitarihana ny tambajotran'ny Fianarana Baiboly Discovery?	Ny fanontaniana entiny ao amin’ny Soratra Masina dia voataonan’ny filan’ny vondrona tarihiny.	Hitanay ireo lohahevitra, andalan-tsoratra ary fanontaniana mahomby amin'ny fanofanana ireo mpitarika anay.	Mamorona Outline izao	Download Outline	Hamaky bebe kokoa
